author_name,appears_in,affiliation,author_id
Sena Yagmur Sen,e0ec3e2eaf2c091fcc95f54749f2a1419c63263e;31e229005bfe8405349137eea3eccf658ff1bc30,,122478756
Gazihan Alankus,e0ec3e2eaf2c091fcc95f54749f2a1419c63263e;31e229005bfe8405349137eea3eccf658ff1bc30,,2734839
Mehmet Turkan,e0ec3e2eaf2c091fcc95f54749f2a1419c63263e;31e229005bfe8405349137eea3eccf658ff1bc30,,70031922
Heng Zhang,ad8afccbec3dc798ec11eb2192307b3f77a47c8b,,40940525
Yijie Xue,ad8afccbec3dc798ec11eb2192307b3f77a47c8b,,100551091
Yanli Liu,ad8afccbec3dc798ec11eb2192307b3f77a47c8b,,2108202965
Yiwen Ye,ad8afccbec3dc798ec11eb2192307b3f77a47c8b,,2170220899
Hao Jiang,ad8afccbec3dc798ec11eb2192307b3f77a47c8b,,2292414930
Feng Shu,ad8afccbec3dc798ec11eb2192307b3f77a47c8b,,2363573892
Zhimin Chen,ad8afccbec3dc798ec11eb2192307b3f77a47c8b,,2111354272
Jongpil Jeong,2558070b1c2e5b9cf3a867d3a9d70eaa7f814062,,2314526962
Yasmin Yasin,d7665fb470327d388cbebbbbfb4143908445c2cd,,2237025751
Muhammad Usman,d7665fb470327d388cbebbbbfb4143908445c2cd,,2223436301
Ibrahim Radwan,d7665fb470327d388cbebbbbfb4143908445c2cd,,2363859773
Saeed Anwar,d7665fb470327d388cbebbbbfb4143908445c2cd,,2297845544
Yueqing Kang,94b12640c1ef5a6f3586a4529d1bb99a729eac58,,2457732225
Ruitao Lu,94b12640c1ef5a6f3586a4529d1bb99a729eac58,,2312758587
Xiaogang Yang,94b12640c1ef5a6f3586a4529d1bb99a729eac58,,2275298208
Zhenhao Cheng,94b12640c1ef5a6f3586a4529d1bb99a729eac58,,2152159726
Zhanhong Zhuo,94b12640c1ef5a6f3586a4529d1bb99a729eac58,,2358272273
Jiwei Fan,94b12640c1ef5a6f3586a4529d1bb99a729eac58,,3079153
U. S.,12f83d029aa039d41c997f3e0ab52618fe17298b,,2446810280
J. S.,12f83d029aa039d41c997f3e0ab52618fe17298b,,2438514864
Yanyi Wu,0024e561025f20a598f477407646ec2bda40bdab,,2450169397
Xu Zhang,0024e561025f20a598f477407646ec2bda40bdab,,2309775557
Junkai Chen,0024e561025f20a598f477407646ec2bda40bdab,,2450191207
Laibin Chang,0024e561025f20a598f477407646ec2bda40bdab,,2121619327
Jiaqi Ma,0024e561025f20a598f477407646ec2bda40bdab,,2386165627
Shi Chen,0024e561025f20a598f477407646ec2bda40bdab,,2352985671
Linwei Zhu,0024e561025f20a598f477407646ec2bda40bdab,,1969075
Jianglei Di,0024e561025f20a598f477407646ec2bda40bdab,,2344127381
Huan Zhang,0024e561025f20a598f477407646ec2bda40bdab,,2317142984
Deyang Liu,2ac225ed6edb52c70ac924908af73695c47b7ef9;bea462be12e4ba675441d9e9dc09bc523e5239ac,,2267870621
